id,name,start_date_time
57,6.86e,2016-02-05 00:00:00.000
56,6.86d,2016-01-20 00:00:00.000
55,6.86c,2015-12-29 00:00:00.000
54,6.86b,2015-12-20 00:00:00.000
53,6.86,2015-12-16 00:00:00.000
52,6.85b,2015-11-01 00:00:00.000
51,6.85,2015-09-24 00:00:00.000
50,6.84c,2015-05-18 00:00:00.000
49,6.84b,2015-05-09 00:00:00.000
48,6.84,2015-04-30 00:00:00.000
47,6.83d,2015-03-09 00:00:00.000
46,6.83c,2015-02-12 00:00:00.000
45,6.83b,2015-01-13 00:00:00.000
44,6.83,2014-12-17 00:00:00.000
43,6.82c,2014-10-15 00:00:00.000
42,6.82b,2014-09-28 00:00:00.000
41,6.82,2014-09-25 00:00:00.000
40,6.81d,2014-08-09 00:00:00.000
39,6.81c,2014-08-03 00:00:00.000
38,6.81b,2014-06-02 00:00:00.000
37,6.81,2014-04-29 00:00:00.000
36,6.80c,2014-03-03 00:00:00.000
35,6.80b,2014-03-02 00:00:00.000
34,6.80,2014-01-29 00:00:00.000
33,6.79e,2014-01-12 00:00:00.000
32,6.79d,2014-01-07 00:00:00.000
31,6.79c,2013-12-12 00:00:00.000
30,6.79b,2013-11-27 00:00:00.000
29,6.79,2013-10-21 00:00:00.000
28,6.78c,2013-07-03 00:00:00.000
27,6.78b,2013-06-03 00:00:00.000
26,6.78,2013-06-04 00:00:00.000
25,6.77c,2013-03-21 00:00:00.000
24,6.77b,2013-01-15 00:00:00.000
23,6.77,2012-12-19 00:00:00.000
22,6.76c,2012-10-29 00:00:00.000
21,6.76b,2012-10-25 00:00:00.000
20,6.76,2012-10-25 00:00:00.000
19,6.75b,2012-10-02 00:00:00.000
18,6.75,2012-10-04 00:00:00.000
17,6.74c,2012-03-21 00:00:00.000
16,6.74b,2012-03-20 00:00:00.000
15,6.74,2012-03-15 00:00:00.000
14,6.73c,2012-01-10 00:00:00.000
13,6.73b,2011-12-28 00:00:00.000
12,6.73,2012-01-12 00:00:00.000
11,6.72f,2011-07-22 00:00:00.000
10,6.72e,2011-07-18 00:00:00.000
9,6.72d,2011-07-16 00:00:00.000
8,6.72c,2011-06-03 00:00:00.000
7,6.72b,2011-05-04 00:00:00.000
6,6.72,2011-04-27 00:00:00.000
5,6.71b,2011-01-23 00:00:00.000
4,6.71,2011-01-21 00:00:00.000
3,6.70c,2010-12-30 00:00:00.000
2,6.70b,2010-12-28 00:00:00.000
1,6.70,2011-01-18 00:00:00.000
